"order_id";"order_in_date";"value";"lead_id";"initial_status_id";"order_out_date";"final_status_id";"reason_id"
2101;"2025-04-21";505000.0;122025;104;"2025-05-09";107;3
2102;"2025-04-25";40000.0;142025;102;"2025-05-15";107;2
2103;"2025-05-12";1200000.0;172025;102;"2025-06-01";107;1
2104;"2025-04-30";600000.0;182025;101;"2025-05-25";107;5
2105;"2025-04-20";1400000.0;202025;102;"2025-05-10";107;2
2106;"2025-04-20";320000.0;242025;103;"2025-05-05";107;1
2107;"2025-04-27";380000.0;302025;106;"2025-05-27";107;4
2108;"2025-05-12";100000.0;312025;101;"2025-05-30";107;1
2109;"2025-05-02";1500000.0;332025;105;"2025-06-06";107;6
2110;"2025-05-05";220000.0;342025;102;"2025-05-25";107;2
2111;"2025-05-04";800000.0;352025;104;"2025-05-17";107;3
2112;"2025-05-01";700000.0;362025;102;"2025-05-21";107;2
2113;"2025-05-21";2000000.0;382025;105;"2025-06-19";107;6
2114;"2025-05-22";200000.0;412025;102;"2025-06-14";107;2
2115;"2025-05-25";40000.0;432025;104;"2025-06-14";107;5
2116;"2025-05-15";850000.0;442025;103;"2025-05-31";107;5
2117;"2025-05-12";600000.0;452025;103;"2025-06-08";107;4
2118;"2025-05-28";850000.0;492025;104;"2025-06-14";107;3
2119;"2025-05-30";500000.0;502025;106;"2025-06-26";107;4
2120;"2025-05-05";1100000.0;512025;105;"2025-05-25";107;5
2121;"2025-06-02";500000.0;532025;105;"2025-06-28";107;6
2122;"2025-05-19";1300000.0;552025;105;"2025-06-03";107;1
2123;"2025-05-15";350000.0;572025;104;"2025-06-01";107;3
2124;"2025-05-23";600000.0;592025;101;"2025-06-15";107;5
2125;"2025-05-15";800000.0;602025;106;"2025-06-09";107;4
2126;"2025-05-15";13000000.0;622025;105;"2025-06-05";107;2
2127;"2025-06-02";200000.0;632025;105;"2025-07-05";107;6
2128;"2025-05-19";1700000.0;672025;103;"2025-06-17";107;4
2129;"2025-05-26";300000.0;692025;102;"2025-06-10";107;3
2130;"2025-06-04";40000.0;722025;102;"2025-06-29";107;4
2131;"2025-06-20";250000.0;732025;104;"2025-07-05";107;3
2132;"2025-06-06";1000000.0;752025;103;"2025-07-03";107;4
2133;"2025-06-04";560000.0;782025;101;"2025-06-19";107;1
2134;"2025-06-08";1400000.0;802025;103;"2025-06-28";107;5
2135;"2025-06-09";500000.0;812025;101;"2025-06-29";107;1
2136;"2025-06-27";1100000.0;892025;106;"2025-07-23";107;4
2137;"2025-06-24";300000.0;902025;105;"2025-07-24";107;6
2138;"2025-07-16";100000.0;962025;104;"2025-08-10";107;5
2139;"2025-07-08";1800000.0;992025;105;"2025-07-25";107;3
2140;"2025-07-19";1000000.0;1022025;104;"2025-08-06";107;3
2141;"2025-07-16";560000.0;1032025;103;"2025-07-31";107;1
2142;"2025-07-16";40000.0;1072025;102;"2025-08-11";107;5
2143;"2025-07-05";2300000.0;1082025;105;"2025-07-27";107;5
2144;"2025-07-20";1500000.0;1112025;106;"2025-08-19";107;4
2145;"2025-07-24";300000.0;1122025;105;"2025-08-07";107;3
2146;"2025-07-20";712000.0;1132025;105;"2025-08-04";107;1
2147;"2025-07-28";1100000.0;1142025;101;"2025-08-13";107;1
2148;"2025-07-27";1450000.0;1162025;105;"2025-08-26";107;6
2149;"2025-07-30";920000.0;1172025;102;"2025-08-20";107;5
2150;"2025-08-06";2600000.0;1202025;104;"2025-08-30";107;5
2151;"2025-07-12";1440000.0;1232025;105;"2025-08-05";107;2
2152;"2025-08-08";840000.0;1242025;104;"2025-08-22";107;3
2153;"2025-07-31";1150000.0;1282025;103;"2025-08-26";107;4
2154;"2025-08-16";560000.0;1312025;102;"2025-09-07";107;5
2155;"2025-07-28";400000.0;1322025;101;"2025-08-18";107;2
2156;"2025-08-26";780000.0;1372025;102;"2025-09-16";107;2
