month,total_leads,won_count,lost_count,win_rate,loss_rate,outcome_count,velocity_score,success_ratio
2025-04,50,6.0,5.0,12.0,10.0,11.0,22.0,1.2
2025-05,28,21.0,14.0,75.0,50.0,35.0,125.0,1.5
2025-06,31,10.0,17.0,32.26,54.84,27.0,87.09677419354838,0.5882352941176471
2025-07,31,16.0,20.0,51.61,64.52,36.0,116.12903225806453,0.8
2025-08,31,10.0,12.0,32.26,38.71,22.0,70.96774193548387,0.8333333333333334
2025-09,39,19.0,11.0,48.72,28.21,30.0,76.92307692307693,1.7272727272727273
2025-10,30,18.0,21.0,60.0,70.0,39.0,130.0,0.8571428571428571
2025-11,28,5.0,11.0,17.86,39.29,16.0,57.14285714285714,0.45454545454545453
2025-12,44,11.0,10.0,25.0,22.73,21.0,47.72727272727273,1.1
2026-01,15,7.0,11.0,46.67,73.33,18.0,120.0,0.6363636363636364
2026-02,18,2.0,5.0,11.11,27.78,7.0,38.88888888888889,0.4
2026-03,18,2.0,2.0,11.11,11.11,4.0,22.22222222222222,1.0
